year,debt
1950,26
1951,25
1952,26
1953,24
1954,24
1955,29
1956,24
1957,27
1958,23
1959,33
1960,34
1961,36
1962,36
1963,35
1964,33
1965,36
1966,33
1967,40
1968,38
1969,38
1970,37
1971,37
1972,34
1973,28
1974,28
1975,33
1976,37
1977,36
1978,38
1979,37
1980,36
1981,40
1982,40
1983,38
1984,40
1985,43
1986,47
1987,48
1988,48
1989,49
1990,49
1991,49
1992,42
1993,50
1994,48
1995,46
1996,44
1997,50
1998,54
1999,52
2000,55
2001,57
2002,59
2003,57
2004,55
2005,52
2006,49
2007,47
2008,47
2009,49
2010,44
2011,45
2012,47
2013,46
2014,46
2015,45
2016,45
2017,44
2018,44
2019,46
2020,55
2021,54
2022,55
